,ffr_rate,ffr_1d_change,ffr_5d_change,ffr_20d_change,ffr_momentum,ffr_volatility,gdp_level,gdp_growth,gdp_momentum,gdp_ffr_ratio,macro_signal
2024-11-20,4.58,0.0,0.0,-0.25,0.0,0.12234012123239807,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-21,4.58,0.0,0.0,-0.25,0.0,0.11754058649540669,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-22,4.58,0.0,0.0,-0.25,0.0,0.1110654145798297,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-23,4.58,0.0,0.0,-0.25,0.0,0.10259783520851526,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-24,4.58,0.0,0.0,-0.25,0.0,0.09158688713313066,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-25,4.58,0.0,0.0,-0.25,0.0,0.07694837640638648,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-26,4.58,0.0,0.0,-0.25,0.0,0.05590169943749472,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-27,4.58,0.0,0.0,-0.25,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-28,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-29,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-30,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-12-01,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-12-02,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-12-03,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-12-04,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-12-05,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-12-06,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-12-07,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-12-08,4.58,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
